model,layer,transform,group,cos
glove,,raw,intra,0.48349878191947937
glove,,raw,intra,0.5102730393409729
glove,,raw,intra,0.39272773265838623
glove,,raw,intra,0.23494699597358704
glove,,raw,intra,0.5246356129646301
glove,,raw,intra,0.7725111842155457
glove,,raw,intra,0.7437087893486023
glove,,raw,intra,0.5051410794258118
glove,,raw,intra,0.5384352207183838
glove,,raw,intra,0.44729772210121155
glove,,raw,intra,0.2907521724700928
glove,,raw,intra,0.6491022706031799
glove,,raw,intra,0.41583555936813354
glove,,raw,intra,0.5720431804656982
glove,,raw,intra,0.5668707489967346
glove,,raw,intra,0.7952098250389099
glove,,raw,intra,0.6147547364234924
glove,,raw,intra,0.6341231465339661
glove,,raw,intra,0.5082052946090698
glove,,raw,intra,0.5645030736923218
glove,,raw,intra,0.48589178919792175
glove,,raw,intra,0.7004990577697754
glove,,raw,intra,0.6236830353736877
glove,,raw,intra,0.6926809549331665
glove,,raw,intra,0.59987473487854
glove,,raw,intra,0.6970959901809692
glove,,raw,intra,0.6226543188095093
glove,,raw,intra,0.37103742361068726
glove,,raw,intra,0.8476875424385071
glove,,raw,intra,0.7513928413391113
glove,,raw,intra,0.6727887988090515
glove,,raw,intra,0.7069847583770752
glove,,raw,intra,0.5513231754302979
glove,,raw,intra,0.7592093348503113
glove,,raw,intra,0.812804639339447
glove,,raw,intra,0.6670975089073181
glove,,raw,intra,0.608920693397522
glove,,raw,intra,0.6575986742973328
glove,,raw,intra,0.6458908915519714
glove,,raw,intra,0.5384432077407837
glove,,raw,intra,0.5116906762123108
glove,,raw,intra,0.6846396327018738
glove,,raw,intra,0.6781955361366272
glove,,raw,intra,0.8594379425048828
glove,,raw,intra,0.8646751642227173
glove,,raw,intra,0.660978376865387
glove,,raw,intra,0.8184913992881775
glove,,raw,intra,0.6121384501457214
glove,,raw,intra,0.6624677181243896
glove,,raw,intra,0.6441394090652466
glove,,raw,intra,0.7129939198493958
glove,,raw,intra,0.6789776682853699
glove,,raw,intra,0.6561844348907471
glove,,raw,intra,0.6527959108352661
glove,,raw,intra,0.7218021154403687
glove,,raw,intra,0.8922312259674072
glove,,raw,intra,0.7181044220924377
glove,,raw,intra,0.7685747742652893
glove,,raw,intra,0.7609379291534424
glove,,raw,intra,0.8682940006256104
glove,,raw,intra,0.7470130920410156
glove,,raw,intra,0.8279619216918945
glove,,raw,intra,0.869306206703186
glove,,raw,intra,0.844785749912262
glove,,raw,intra,0.8117547035217285
glove,,raw,intra,0.8230171799659729
glove,,raw,intra,0.9027259349822998
glove,,raw,intra,0.6620563268661499
glove,,raw,intra,0.7289058566093445
glove,,raw,intra,0.7406110763549805
glove,,raw,intra,0.6591737270355225
glove,,raw,intra,0.5271249413490295
glove,,raw,intra,0.7429734468460083
glove,,raw,intra,0.5453057289123535
glove,,raw,intra,0.3713245391845703
glove,,raw,intra,0.6037588715553284
glove,,raw,intra,0.4611758291721344
glove,,raw,intra,0.7015412449836731
glove,,raw,intra,0.6147974133491516
glove,,raw,intra,0.36710304021835327
glove,,raw,intra,0.5541210174560547
glove,,raw,intra,0.5709317326545715
glove,,raw,intra,0.4744068682193756
glove,,raw,intra,0.20965103805065155
glove,,raw,intra,0.7412806153297424
glove,,raw,intra,0.7749454975128174
glove,,raw,intra,0.6989864706993103
glove,,raw,intra,0.6152876615524292
glove,,raw,intra,0.6330801248550415
glove,,raw,intra,0.5528268814086914
glove,,raw,intra,0.4983665943145752
glove,,raw,intra,0.7930991649627686
glove,,raw,intra,0.5990381836891174
glove,,raw,intra,0.5507239103317261
glove,,raw,intra,0.7364174127578735
glove,,raw,intra,0.7286038994789124
glove,,raw,intra,0.5939404964447021
glove,,raw,intra,0.7509556412696838
glove,,raw,intra,0.6323285698890686
glove,,raw,intra,0.8371564149856567
glove,,raw,intra,0.6708219647407532
glove,,raw,intra,0.5881578922271729
glove,,raw,intra,0.7929953932762146
glove,,raw,intra,0.7211766839027405
glove,,raw,intra,0.7428051233291626
glove,,raw,intra,0.6789013147354126
glove,,raw,intra,0.6917060613632202
glove,,raw,intra,0.43177682161331177
glove,,raw,intra,0.7259312272071838
glove,,raw,intra,0.6620980501174927
glove,,raw,intra,0.55904221534729
glove,,raw,intra,0.6418540477752686
glove,,raw,intra,0.7740122675895691
glove,,raw,intra,0.7212696671485901
glove,,raw,intra,0.7651993632316589
glove,,raw,intra,0.6840124726295471
glove,,raw,intra,0.5639693737030029
glove,,raw,intra,0.6174148917198181
glove,,raw,intra,0.7877047061920166
glove,,raw,intra,0.7606709003448486
glove,,raw,intra,0.7709776759147644
glove,,raw,intra,0.7501114010810852
glove,,raw,intra,0.821847140789032
glove,,raw,intra,0.7716185450553894
glove,,raw,intra,0.729250431060791
glove,,raw,intra,0.653652012348175
glove,,raw,intra,0.7619352340698242
glove,,raw,intra,0.8151371479034424
glove,,raw,intra,0.7347406148910522
glove,,raw,intra,0.7275193929672241
glove,,raw,intra,0.6316327452659607
glove,,raw,intra,0.663910448551178
glove,,raw,intra,0.5539270043373108
glove,,raw,intra,0.9032840728759766
glove,,raw,intra,0.7739608883857727
glove,,raw,intra,0.7055572271347046
glove,,raw,intra,0.7436448335647583
glove,,raw,intra,0.7676807641983032
glove,,raw,intra,0.8391661047935486
glove,,raw,intra,0.7947922348976135
glove,,raw,intra,0.8342627286911011
glove,,raw,intra,0.7707085609436035
glove,,raw,intra,0.8090373873710632
glove,,raw,intra,0.7220295667648315
glove,,raw,intra,0.6610605716705322
glove,,raw,intra,0.621508002281189
glove,,raw,intra,0.8489251136779785
glove,,raw,intra,0.822888195514679
glove,,raw,intra,0.8134617209434509
glove,,raw,intra,0.5723627209663391
glove,,raw,intra,0.8167343139648438
glove,,raw,intra,0.740813136100769
glove,,raw,intra,0.48563823103904724
glove,,raw,intra,0.4945380687713623
glove,,raw,intra,0.842096209526062
glove,,raw,intra,0.73795086145401
glove,,raw,intra,0.8568884134292603
glove,,raw,intra,0.7953219413757324
glove,,raw,intra,0.630460262298584
glove,,raw,intra,0.5654395818710327
glove,,raw,intra,0.8782326579093933
glove,,raw,intra,0.7585922479629517
