model,layer,transform_type,delta_cos
glove,,verb_regular,0.4126635789871216
glove,,verb_regular,0.36616086959838867
glove,,verb_regular,0.465806782245636
glove,,verb_regular,0.24761541187763214
glove,,verb_regular,0.3350127637386322
glove,,verb_regular,0.06287814676761627
glove,,verb_regular,0.19525796175003052
glove,,verb_regular,0.27039116621017456
glove,,verb_regular,0.3195666968822479
glove,,verb_regular,0.20408475399017334
glove,,verb_regular,0.11386141926050186
glove,,verb_regular,0.430997759103775
glove,,verb_regular,0.19487671554088593
glove,,verb_regular,0.037437960505485535
glove,,verb_regular,0.4835744798183441
glove,,verb_regular,0.33498209714889526
glove,,verb_regular,0.19551074504852295
glove,,verb_regular,0.2561497986316681
glove,,verb_regular,0.24279426038265228
glove,,verb_regular,0.6395007967948914
glove,,verb_regular,0.3571893870830536
glove,,verb_regular,-0.02464355155825615
glove,,verb_regular,0.5750920176506042
glove,,verb_regular,0.3291178345680237
glove,,verb_regular,0.008935920894145966
glove,,verb_regular,0.10483914613723755
glove,,verb_regular,0.09631679952144623
glove,,verb_regular,0.2548946142196655
glove,,verb_regular,0.4768146574497223
glove,,verb_regular,0.26413506269454956
glove,,verb_regular,0.24088262021541595
glove,,verb_regular,0.6469050645828247
glove,,verb_regular,0.2018793523311615
glove,,verb_regular,0.12480530142784119
glove,,verb_regular,0.2864936888217926
glove,,verb_regular,0.43485939502716064
glove,,verb_regular,0.23041318356990814
glove,,verb_regular,0.3397783935070038
glove,,verb_regular,0.6064665913581848
glove,,verb_regular,0.08551094681024551
glove,,verb_regular,0.19033770263195038
glove,,verb_regular,0.32635557651519775
glove,,verb_regular,0.3233453035354614
glove,,verb_regular,0.27815964818000793
glove,,verb_regular,0.1320045441389084
glove,,verb_regular,0.15867766737937927
glove,,verb_regular,0.3670193552970886
glove,,verb_regular,0.33306655287742615
glove,,verb_regular,0.3796076774597168
glove,,verb_regular,0.4706556499004364
glove,,verb_regular,-0.0791562870144844
glove,,verb_regular,0.15616819262504578
glove,,verb_regular,0.13020078837871552
glove,,verb_regular,0.43053123354911804
glove,,verb_regular,0.04890371859073639
glove,,verb_regular,0.17210887372493744
glove,,verb_regular,0.4948970675468445
glove,,verb_regular,0.2622048258781433
glove,,verb_regular,0.294491708278656
glove,,verb_regular,0.4554564654827118
glove,,verb_regular,0.22546817362308502
glove,,verb_regular,0.24083133041858673
glove,,verb_regular,0.6572259068489075
glove,,verb_regular,-0.14846418797969818
glove,,verb_regular,0.5175209045410156
glove,,verb_regular,0.3409861624240875
glove,,verb_regular,-0.02450110763311386
glove,,verb_regular,0.025154879316687584
glove,,verb_regular,0.10352970659732819
glove,,verb_regular,0.269875168800354
glove,,verb_regular,0.3905961215496063
glove,,verb_regular,0.21103651821613312
glove,,verb_regular,0.1812044084072113
glove,,verb_regular,0.5610417127609253
glove,,verb_regular,0.16137835383415222
glove,,verb_regular,0.0245329812169075
glove,,verb_regular,0.26014432311058044
glove,,verb_regular,0.47098883986473083
glove,,verb_regular,0.12994973361492157
glove,,verb_regular,0.17797192931175232
glove,,verb_regular,0.40235233306884766
glove,,verb_regular,0.23405835032463074
glove,,verb_regular,0.2564857006072998
glove,,verb_regular,0.3540901839733124
glove,,verb_regular,0.19659888744354248
glove,,verb_regular,0.3544447720050812
