model,layer,pair_type,cos
glove,,syn,0.23981952667236328
glove,,syn,0.20819981396198273
glove,,syn,0.4587988555431366
glove,,syn,0.3871208429336548
glove,,syn,0.6494548916816711
glove,,syn,0.565534234046936
glove,,syn,0.22472776472568512
glove,,syn,-0.060715824365615845
glove,,syn,0.21906526386737823
glove,,syn,0.39930325746536255
glove,,syn,0.3617735803127289
glove,,syn,0.6176856160163879
glove,,syn,0.5402655601501465
glove,,syn,0.3424559235572815
glove,,syn,0.23685599863529205
glove,,syn,0.18586057424545288
glove,,syn,0.32659590244293213
glove,,syn,0.6159216165542603
glove,,syn,0.1899266242980957
glove,,syn,0.22482694685459137
glove,,syn,0.38037997484207153
glove,,syn,0.1359623223543167
glove,,syn,0.5756935477256775
glove,,syn,0.7199944853782654
glove,,syn,0.13643978536128998
glove,,syn,0.40396061539649963
glove,,syn,0.37023934721946716
glove,,syn,0.18392007052898407
glove,,syn,0.32095980644226074
glove,,syn,0.6717034578323364
glove,,syn,0.2847696840763092
glove,,syn,0.4429710805416107
glove,,syn,0.21797820925712585
glove,,syn,0.5267977118492126
glove,,syn,0.3625257611274719
glove,,syn,0.4467508792877197
glove,,syn,0.636994481086731
glove,,syn,0.16544276475906372
glove,,syn,0.3472456932067871
glove,,syn,0.4935854375362396
glove,,syn,0.2656515836715698
glove,,syn,0.0069173299707472324
glove,,syn,0.5446469187736511
glove,,syn,0.0012315273052081466
glove,,syn,0.6764083504676819
glove,,syn,0.6020178198814392
glove,,syn,0.5400922894477844
glove,,syn,0.4490559995174408
glove,,syn,0.7318074107170105
glove,,syn,0.335705429315567
glove,,syn,0.40419796109199524
glove,,syn,0.6523756980895996
glove,,syn,0.37645190954208374
glove,,syn,0.32928451895713806
glove,,syn,0.624378502368927
glove,,syn,0.2447091042995453
glove,,syn,0.13265562057495117
glove,,syn,0.31185024976730347
glove,,syn,0.1487143635749817
glove,,syn,0.10584551095962524
glove,,syn,0.39085859060287476
glove,,syn,0.5505916476249695
glove,,syn,0.5939639210700989
glove,,syn,0.2618642747402191
glove,,syn,0.4853666126728058
glove,,syn,0.8128049373626709
glove,,syn,0.33256110548973083
glove,,syn,0.5754429697990417
glove,,syn,0.20536299049854279
glove,,syn,0.2544516324996948
glove,,syn,-0.06982827931642532
glove,,syn,0.14047500491142273
glove,,syn,-0.06146474555134773
glove,,syn,0.5575308799743652
glove,,syn,0.541110098361969
glove,,syn,0.3159298300743103
glove,,syn,0.654858410358429
glove,,syn,0.35506173968315125
glove,,syn,0.7795687317848206
glove,,syn,0.44950759410858154
glove,,syn,0.6600770950317383
glove,,syn,0.4517403244972229
glove,,syn,0.3799053430557251
glove,,syn,0.17746570706367493
glove,,syn,0.2769838869571686
glove,,syn,0.4585241675376892
glove,,syn,0.39637309312820435
glove,,syn,0.429877907037735
glove,,syn,0.31081563234329224
glove,,syn,0.5002679824829102
glove,,syn,0.33162179589271545
glove,,syn,0.42299067974090576
glove,,syn,0.055008817464113235
glove,,syn,0.20840229094028473
glove,,syn,0.5597414374351501
glove,,syn,0.4278305172920227
glove,,syn,0.44052332639694214
glove,,syn,0.14371129870414734
glove,,syn,0.5991101861000061
glove,,syn,0.40011298656463623
glove,,syn,0.041272904723882675
glove,,syn,0.38004836440086365
glove,,syn,0.7346100807189941
glove,,syn,0.36213961243629456
glove,,syn,0.05876019597053528
glove,,syn,0.5540523529052734
glove,,syn,0.38725078105926514
glove,,syn,0.22704528272151947
glove,,syn,0.6692566275596619
glove,,syn,0.6689291000366211
glove,,syn,0.2590119242668152
glove,,syn,0.18802127242088318
glove,,syn,0.3135581612586975
glove,,syn,-0.06568050384521484
glove,,syn,0.30081942677497864
glove,,syn,0.12767882645130157
glove,,syn,0.19643421471118927
glove,,syn,0.4489111602306366
glove,,syn,0.501913845539093
glove,,syn,0.0878346636891365
glove,,syn,0.36536362767219543
glove,,syn,0.6103454232215881
